Time,Date,fdb,fdif,Ta_C,Td_C,P_mb,S_W_per_m2,cos_z,u_m_per_sec,u_m_per_hr,Rh,h,Tw_C,ea,epsa,B,C,Tg_C,Tg_F,e,actual_Tg_C
13:00,7/3/2010,0.75,0.25,26.26,17.21,973.62,193.04,0.9714,1.812,6523.2,57.5,0.101274459,20.94781261,18.55668613,0.872734593,1678945078,306605873.4,31.73445826,89.122,19.56661611,31.55
14:00,7/3/2010,0.75,0.25,28.8,17.57,973.71,448.7,0.9244,2.164,7790.4,50.7,0.132569543,21.45412447,18.59184046,0.872970592,3979819932,444878843.2,37.74139651,99.9345,20.00916235,37.16
13:00,7/10/2010,0.75,0.25,29.5,16.2,971.03,173,0.9689,2.734,9842.4,44.65,0.098524678,20.46198409,16.74872176,0.860047363,1506448296,378649115.5,378649115.5,92.257,33.47613079,33.58
14:00,7/10/2010,0.75,0.25,31.06,16.59,971.37,387.98,0.9226,3.86,13896,41.86,0.127660528,20.86084154,16.93891306,0.86143581,3444243993,599274858.9,36.80444598,98.248,36.80444598,37.47
